Ano;CodOrgao;SiglaPPG;NomePPG;NivelCursoPG;NrMatriculados;NrTitulados
2018;706;PPGCC;Programa de Pós-Graduação em Computação;Mestrado Acadêmico;201;44
2021;575;PGGEO;Programa de Pós-Graduação em Geociências;Doutorado;125;13
2014;435;PPGMUS;Programa de Pós-Graduação em Música;Mestrado Acadêmico;44;14
2020;477;PPGFIL;Programa de Pós-Graduação em Filosofia;Mestrado Acadêmico;30;7
2016;412;PPGCARD;Programa de Pós-Graduação em Ciências da Saúde: Cardiologia e Ciências Cardiovasculares;Doutorado;58;16
2017;2716;PGMICRO;Programa de Pós-Graduação em Microeletrônica;Doutorado;42;5
2018;394;PPGEM;Programa de Pós-Graduação em Engenharia de Minas, Metalúrgica e de Materiais;Mestrado Acadêmico;578;87
2011;1275;PPGODONT;Programa de Pós-Graduação em Odontologia;Mestrado Acadêmico;90;21
2014;1377;PPGSOLO;Programa de Pós-Graduação em Ciência do Solo;Doutorado;55;11
2011;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Mestrado Profissional;51;6
2013;443;PPGA;Programa de Pós-Graduação em Administração;Doutorado;112;29
2019;1552;PPGPSISI;Programa de Pós-Graduação em Psicologia Social e Institucional;Mestrado Acadêmico;100;24
2022;401;PPGEP;Programa de Pós-Graduação em Engenharia de Produção;Doutorado;85;14
2013;444;PPGECO;Programa de Pós-Graduação em Economia;Mestrado Profissional;86;14
2012;2613;PPGRELIN;Programa de Pós-Graduação em Relações Internacionais;Mestrado Acadêmico;16;9
2018;1222;PPGENDO;Programa de Pós-Graduação em Ciências Médicas: Endocrinologia;Mestrado Acadêmico;36;14
2015;2612;PPGENFIS;Programa de Pós-Graduação em Ensino de Física;Doutorado;18;6
2013;1859;PPGCTA;Programa de Pós-Graduação em Ciência e Tecnologia de Alimentos;Mestrado Acadêmico;44;14
2018;637;PPGFIS;Programa de Pós-Graduação em Física;Mestrado Acadêmico;45;13
2017;6313;PPGCOL;Programa de Pós-Graduação em Saúde Coletiva;Mestrado Acadêmico;91;38
2019;684;PPGLET;Programa de Pós-Graduação em Letras;Mestrado Acadêmico;201;55
2014;1638;MPENG;Programa de Pós-Graduação em Engenharia - Mestrado Profissionalizante;Mestrado Profissional;1;0
2019;600;PPGBIOQ;Programa de Pós-Graduação em Ciências Biológicas: Bioquímica;Doutorado;108;22
2021;1139;PPGCOMINF;Programa de Pós-Graduação em Comunicação e Informação;Doutorado;36;21
2017;4212;PPGMAE;Programa de Pós-Graduação em Medicina Animal: Equinos;Mestrado Acadêmico;54;8
2022;684;PPGLET;Programa de Pós-Graduação em Letras;Doutorado;253;41
2013;427;PPGDIR;Programa de Pós-Graduação em Direito;Doutorado;69;18
2023;412;PPGCARD;Programa de Pós-Graduação em Ciências da Saúde: Cardiologia e Ciências Cardiovasculares;Doutorado;66;6
2014;420;PPGC;Programa de Pós-Graduação em Medicina: Ciências Cirúrgicas;Mestrado Acadêmico;78;14
2015;1375;PPGZOOT;Programa de Pós-Graduação em Zootecnia;Mestrado Acadêmico;63;27
2015;698;PPGCMH;Programa de Pós-Graduação em Ciências do Movimento Humano;Doutorado;99;9
2023;7586;PPGFARTP;Programa de Pós-Graduação em Ciências Biológicas: Farmacologia e Terapêutica;Doutorado;26;5
2011;417;PPGPNEUM;Programa de Pós-Graduação em Ciências Pneumológicas;Doutorado;42;11
2014;7999;PROFHIST;Programa de Pós-Graduação em Ensino de História;Mestrado Profissional;14;0
2013;1216;PPGEQ;Programa de Pós-Graduação em Engenharia Química;Mestrado Acadêmico;147;16
2016;1287;PPGSR;Programa de Pós-Graduação em Sensoriamento Remoto;Doutorado;37;3
